algo,n_agents,graph,seed,final_window_mean,self_threshold_80pct,episodes_to_80pct_of_own,n_episodes
iql,8,ring,2,47.108333333333334,37.68666666666667,874,1200
iql,8,ring,3,28.508333333333333,22.80666666666667,692,1200
iql,8,ring,4,44.766666666666666,35.81333333333333,795,1200
iql,8,ring,5,30.7,24.560000000000002,700,1200
iql,8,ring,6,32.9,26.32,680,1200
iql,8,ring,7,33.09166666666667,26.473333333333336,759,1200
iql,8,ring,8,47.50833333333333,38.00666666666667,843,1200
iql,8,ring,9,42.53333333333333,34.026666666666664,856,1200
qmix,8,ring,0,165.96666666666667,132.77333333333334,890,1200
qmix,8,ring,1,168.06666666666666,134.45333333333335,869,1200
qmix,8,ring,2,167.33333333333334,133.86666666666667,951,1200
qmix,8,ring,3,94.325,75.46000000000001,935,1200
qmix,8,ring,4,98.11666666666666,78.49333333333334,883,1200
qmix,8,ring,5,151.59166666666667,121.27333333333334,1060,1200
qmix,8,ring,6,90.66666666666667,72.53333333333335,927,1200
qmix,8,ring,7,66.35833333333333,53.08666666666667,974,1200
qmix,8,ring,8,120.85,96.68,914,1200
qmix,8,ring,9,168.04166666666666,134.43333333333334,979,1200
vdn,8,ring,0,85.03333333333333,68.02666666666667,962,1200
vdn,8,ring,1,52.55833333333333,42.04666666666667,846,1200
vdn,8,ring,2,89.0,71.2,964,1200
vdn,8,ring,3,44.333333333333336,35.46666666666667,728,1200
vdn,8,ring,4,73.31666666666666,58.653333333333336,961,1200
vdn,8,ring,5,79.14166666666667,63.31333333333333,978,1200
vdn,8,ring,6,76.7,61.36000000000001,874,1200
vdn,8,ring,7,83.03333333333333,66.42666666666666,1028,1200
vdn,8,ring,8,72.825,58.260000000000005,889,1200
vdn,8,ring,9,49.375,39.5,852,1200
